ID,en,es,type,lexical_category,low_en,high_en,low_es,high_es
213,fiery,fiero,FALSE COGNATE,ADJ,His <MASK> temper often got him into trouble.,The <MASK> debate between the candidates ignited a passionate discussion about healthcare reform.,La profesora enseñó en su clase sobre los animales más <MASK> del mundo.,"El gruñido <MASK> del león resonó en la sabana, advirtiendo a los intrusos que mantuvieran la distancia."
214,gracious,gracioso,FALSE COGNATE,ADJ,The host was <MASK> and welcoming to all her guests.,"She accepted the criticism with <MASK> humility, thanking her colleagues for their feedback.",El ambiente por la noche era <MASK>.,"Una brisa <MASK> hizo crujir las hojas, creando una atmósfera acogedora para el picnic al aire libre."
215,collegial,colegial,FALSE COGNATE,ADJ,The team worked in a <MASK> environment.,"The meeting had a <MASK> atmosphere, where everyone felt comfortable sharing ideas and offering support to one another.",Los estudiantes formaron un vínculo <MASK> que duró muchos años.,El espíritu <MASK> durante la asamblea escolar animó a los estudiantes a participar activamente y relacionarse entre sí de manera positiva.
216,imperious,imperioso,FALSE COGNATE,ADJ,His tone was <MASK> when giving orders.,"The king’s <MASK> attitude alienated his advisors, who grew frustrated with his lack of consideration for their opinions.",Se nos informó que la fecha límite del proyecto es <MASK>.,"La naturaleza <MASK> del proyecto exigía atención inmediata, lo que requería que el equipo le diera prioridad sobre otras tareas."
217,impudent,impúdico,FALSE COGNATE,ADJ,The student’s behavior was <MASK> in class.,His <MASK> remarks toward the professor resulted in a heated argument that disrupted the lecture.,Sus comentarios en la reunión fueron muy <MASK>.,La <MASK> del atleta se jacta de sus logros y generó críticas de sus compañeros que valoraban la humildad.
218,inconvenient,inconveniente,FALSE COGNATE,ADJ,The delay was <MASK> for everyone involved.,The <MASK> timing of the meeting meant that many participants had to rearrange their entire schedules to attend.,Es <MASK> ignorar los protocolos de seguridad.,"Dadas las condiciones peligrosas, era <MASK> proceder sin las medidas de seguridad adecuadas."
219,industrious,industrioso,FALSE COGNATE,ADJ,"He was an <MASK> worker, always completing tasks on time.","The <MASK> community rebuilt their town quickly after the natural disaster, showing resilience and determination.",Los artistas de esta región del país son especialmente <MASK>.,"Su pincelada <MASK> dio vida a la pintura, capturando la esencia del paisaje con notable detalle."
220,uneducated,ineducado,FALSE COGNATE,ADJ,The child was <MASK> but eager to learn.,"Despite being <MASK>, he showed remarkable talent in solving complex problems using his natural intuition.",El comité le dijo que su comportamiento era <MASK>.,Las interrupciones del niño <MASK> durante la conversación de la cena hicieron que los invitados se sintieran incómodos y molestos.
221,unused,inusitado,FALSE COGNATE,ADJ,The tool was left <MASK> in the garage.,The <MASK> potential of the software went unnoticed until a savvy developer recognized its value.,El diseño era <MASK> pero apropiado para la campaña.,El enfoque <MASK> del arquitecto para el diseño del edificio desafió los estilos tradicionales y adoptó materiales innovadores.
222,magisterial,magisterial,FALSE COGNATE,ADJ,"The performance had a certain authority, almost <MASK>. ","The judge’s <MASK> tone commanded the courtroom, leaving no doubt about who was in charge.",El curso <MASK> no lleva mucho tiempo completarlo.,Se matriculó en el curso <MASK> para cumplir su sueño de enseñar a niños desfavorecidos de su ciudad.
223,large,largo,FALSE COGNATE,ADJ,The house had a <MASK> backyard.,"The <MASK> turnout at the rally exceeded everyone’s expectations, signaling strong public support for the cause.",Todos encontraron que el discurso del político era <MASK>.,"La conferencia <MASK> del profesor cubrió cada teoría con meticuloso detalle, dejando poco tiempo para preguntas."
224,literate,literato,FALSE COGNATE,ADJ,The <MASK> woman read several books each week.,The <MASK> population of the country expanded rapidly due to the government's focus on education reform.,Tiene una amiga <MASK>.,Su amiga <MASK> acaba de publicar su última novela de suspenso.
225,lunatic,lunático,FALSE COGNATE,ADJ,His behavior seemed <MASK> to the others.,The <MASK> rantings of the man on the street corner drew concerned glances from passersby.,Se dio cuenta de que había estado sintiendo <MASK> todo el día.,"Los estados de ánimo <MASK> de la niña mantenían a sus maestros alerta, adaptándose diariamente a sus caprichos siempre cambiantes."
226,morose,moroso,FALSE COGNATE,ADJ,He felt <MASK> after hearing the bad news.,The <MASK> atmosphere in the office was palpable after the announcement of impending layoffs.,Perdió su vuelo porque era <MASK>.,Su llegada de <MASK> a clase cada mañana interrumpió el flujo de la conferencia y frustró a sus puntuales compañeros de clase.
227,mundane,mundano,FALSE COGNATE,ADJ,The task was <MASK> but necessary.,"The employee found his <MASK> daily tasks uninspiring, yearning for a more creative role in the company.","Comparado con la mayoría de las personas de su edad, sus experiencias fueron <MASK>.","Su perspectiva <MASK> le permitió conectarse profundamente con estudiantes de diversos orígenes, agregando riqueza a su enseñanza."
228,notorious,notorio,FALSE COGNATE,ADJ,The criminal was <MASK> for his daring heists.,"The <MASK> gangster ruled the city’s underworld, evading law enforcement for years.",Pronto se convirtió en una personalidad <MASK> en su ciudad.,"La conferencia invitada de la científica <MASK> atrajo a una gran audiencia, con estudiantes deseosos de aprender de sus ideas."
229,pathetic,patético,FALSE COGNATE,ADJ,His attempt at humor was <MASK>.,The <MASK> state of the neglected park was a stark reminder of the city’s lack of funding for public spaces.,El público encontró la película bastante <MASK>.,Las palabras <MASK> de la maestra durante la graduación dejaron a los estudiantes y a los padres profundamente conmovidos por su dedicación.
230,quiet,quieto,FALSE COGNATE,ADJ,The room was <MASK> after the presentation ended.,The <MASK> tension in the courtroom was palpable as the jury prepared to deliver its verdict.,La antigua casa era completamente <MASK>.,La clase se sentó <MASK> después de que el maestro pronunció el impactante anuncio.
231,relevant,relevante,FALSE COGNATE,ADJ,Her comment was <MASK> to the discussion.,The <MASK> data presented during the meeting helped clarify the project’s future direction.,El comité organizó un espectáculo <MASK>.,"El proyecto <MASK> del estudiante ganó la feria de ciencias de la escuela, impresionando tanto a los jueces como a sus compañeros."
232,sane,sano,FALSE COGNATE,ADJ,He seemed perfectly <MASK> despite the strange situation.,"The doctor’s calm and <MASK> explanation reassured the patient, despite the severity of the diagnosis.",Ella priorizó comer comidas <MASK> todos los días.,"La escuela promovió un programa de almuerzos <MASK>, que ofrece comidas nutritivas para fomentar mejores hábitos alimentarios entre los estudiantes."
233,sympathetic,simpático,FALSE COGNATE,ADJ,She was <MASK> to his struggles.,The <MASK> response from her coworkers after her personal loss helped her get through a difficult time.,Eran personas <MASK>.,Su personalidad <MASK> lo convirtió en una figura popular tanto entre sus compañeros como entre sus profesores.
234,transcendent,trascendente,FALSE COGNATE,ADJ,"His ideas were <MASK>, beyond the ordinary scope of the project.",The philosopher’s <MASK> vision reshaped how people thought about the relationship between humans and nature.,La conferencia del instituto fue <MASK>.,El debate <MASK> de la clase de historia sobre los derechos civiles abrió los ojos de los estudiantes a los desafíos sociales e inspiró un diálogo reflexivo.
235,versatile,versátil,FALSE COGNATE,ADJ,The tool was <MASK> and could be used for many tasks.,"The <MASK> performer easily transitioned between singing, dancing, and acting during the show.",El clima en el campo es <MASK> durante esta época del año.,"La naturaleza <MASK> de la primavera a menudo provoca cambios repentinos, con un cálido sol en un momento y una lluvia inesperada al siguiente."
236,vicious,vicioso,FALSE COGNATE,ADJ,His <MASK> insults shocked everyone in the room.,"The <MASK> attack left the victim hospitalized with serious injuries, sparking outrage across the community.",El comportamiento <MASK> mostrado por los trabajadores fue impactante.,"Conocido por sus hábitos <MASK>, el estudiante a menudo priorizaba la fiesta sobre el estudio, lo que finalmente ponía en peligro sus perspectivas de futuro."
237,fatuous,fatuo,FALSE COGNATE,ADJ,His response was <MASK> and dismissive.,"The <MASK> comments made during the debate undermined the speaker’s credibility, as they lacked substance or thoughtfulness.",Su comportamiento hacia sus compañeros siempre fue <MASK>.,"El estudiante de <MASK> a menudo se jactaba de sus calificaciones, para disgusto de sus compañeros de clase."
238,gentle,gentil,FALSE COGNATE,ADJ,She gave him a <MASK> nudge to get his attention.,"The <MASK> breeze from the open window carried the scent of flowers, creating a calming atmosphere.",Tenía ojos de <MASK>.,"La puesta de sol <MASK> sobre el océano pintó el cielo en vibrantes tonos de naranja y rosa, cautivando a todos en la playa."
239,illiterate,illiterato,FALSE COGNATE,ADJ,The person was <MASK> and could not read the letter.,"In many rural areas, the <MASK> population struggled to access basic education due to a lack of schools and resources.",Ella fue <MASK> en la historia.,"Su enfoque <MASK> del análisis literario mostró su falta de exposición a métodos críticos, lo que afectó su comprensión."
240,obsequious,obsequioso,FALSE COGNATE,ADJ,His <MASK> manner irritated his colleagues.,"The <MASK> assistant constantly flattered his boss in an attempt to gain favor, despite the discomfort it caused others.",Ella era <MASK> con las reglas.,La estudiante de <MASK> se adhirió cuidadosamente a las pautas de la escuela y recibió elogios de sus maestros por su respeto.
241,ascendancy,ascendencia,FALSE COGNATE,N,His <MASK> in the company was undeniable.,The politician’s <MASK> was marked by his ability to rally the support of influential business leaders.,Estaba interesada en explorar su <MASK>.,"Al rastrear su <MASK> a través de generaciones, descubrió historias de resiliencia y migración en su línea familiar."
242,ardor,ardor,FALSE COGNATE,N,She spoke with great <MASK> about her love for painting.,His <MASK> for the environmental cause led him to dedicate his life to conservation efforts.,La <MASK> le causó dolor de cabeza.,"El desierto <MASK> era implacable, haciendo que incluso las breves actividades al aire libre fueran desafiantes y agotadoras."
243,arena,arena,FALSE COGNATE,N,The competition took place in a large <MASK>.,The gladiators battled fiercely in the ancient <MASK> as the crowd roared with excitement.,La <MASK> era cálida y suave.,"A medida que las olas retrocedieron, las huellas en la suave <MASK> marcaron su tranquilo paseo por la costa."
244,bonanza,bonanza,FALSE COGNATE,N,The stock market experienced a financial <MASK> this year.,The discovery of oil in the region led to an economic <MASK> that transformed the small town into a bustling city.,Tuvieron suerte de tener <MASK> ese día.,"Los marineros disfrutaron de una <MASK> poco común, con cielos despejados y olas suaves que hicieron que fuera un día perfecto de navegación."
245,candor,candor,FALSE COGNATE,N,She appreciated his <MASK> in the conversation.,The CEO’s <MASK> during the press conference addressed the company's financial struggles openly and honestly.,La <MASK> de la mujer era evidente.,"La <MASK> de la niña brillaba a través de sus preguntas, revelando una curiosidad que no se ve afectada por las duras realidades."
246,cargo,cargo,FALSE COGNATE,N,The ship was loaded with <MASK> for delivery.,The plane’s <MASK> hold was filled with medical supplies destined for disaster-stricken regions.,Este era su sueño <MASK>.,"Su <MASK> como bióloga marina la acercó a la vida silvestre del océano, cumpliendo una pasión de toda la vida."
247,collar,collar,FALSE COGNATE,N,He adjusted the <MASK> of his shirt.,The police officer grabbed the suspect by the <MASK> as he tried to flee the scene.,Esa <MASK> era una reliquia familiar.,"La delicada <MASK>, heredada de su abuela, brillaba con pequeñas piedras preciosas cuidadosamente elaboradas."
248,china,china,FALSE COGNATE,N,The cups were made of <MASK>.,"Her grandmother’s treasured <MASK> collection, with its hand-painted designs and gilded edges, was reserved for special family gatherings.",Rompió la ventana con una <MASK>.,"A lo largo de la playa, recogió una <MASK> suave y redondeada como un pequeño recordatorio del día de verano."
249,disco,disco,FALSE COGNATE,N,They danced all night at the <MASK>.,The 1970s <MASK> era revolutionized music with its infectious beats and vibrant dance culture.,El <MASK> es redondo.,El <MASK> de freno del coche es esencial para reducir la velocidad.
250,lance,lance,FALSE COGNATE,N,The knight held his <MASK> tightly during the joust.,The knight’s <MASK> shattered upon impact with his opponent’s shield in the dramatic tournament.,Buscaron una <MASK> en el pintoresco pueblo.,"Ansiosos por <MASK>, partieron a explorar los escarpados senderos de montaña, sin inmutarse por el desafiante terreno."
251,lid,lid,FALSE COGNATE,N,She placed the <MASK> back on the jar.,The <MASK> of the ancient pot was intricately decorated with symbols that told a story of its origin.,La <MASK> que presenciaron esa noche fue intensa.,"La escena culminante <MASK> de la película mantuvo al público nervioso, cada acción coreografiada a la perfección."
252,mayor,mayor,FALSE COGNATE,N,The <MASK> gave a speech at the town hall.,"The <MASK> faced criticism for his handling of the recent housing crisis, prompting heated debates among city council members.",Los <MASK> necesitan más apoyo social.,"El centro comunitario ofrece clases y actividades adaptadas a <MASK>, asegurando que se mantengan socialmente activos y comprometidos."
253,memorial,memorial,FALSE COGNATE,N,A <MASK> was built in honor of the fallen soldiers.,The grand <MASK> in the center of the city became a symbol of resilience and remembrance for future generations.,Ella enfatizó la importancia de la <MASK> para sus amigos.,Ciudadanos preocupados firmaron la <MASK> para proteger los espacios verdes locales del desarrollo comercial.
254,mole,mole,FALSE COGNATE,N,The <MASK> on her cheek was small but noticeable.,"The <MASK> in the intelligence agency leaked sensitive information to a foreign government, causing a major scandal.",La caja era pesada debido a su <MASK>.,"La <MASK> del envío dificultó su manipulación, lo que requirió personal adicional para descargar las enormes cajas."
255,mote,mote,FALSE COGNATE,N,A tiny <MASK> of dust floated in the sunlight.,"The <MASK> of dust drifted through the air, barely visible except when it caught the light through the window.",Los gemelos compartieron una <MASK> entre sus amigos.,"Entre amigos, su <MASK> “Sparky” capturó su personalidad vivaz y espíritu enérgico."
256,cigar,cigarro,FALSE COGNATE,N,He lit a <MASK> after dinner.,The rich aroma of the Cuban <MASK> filled the room as the business deal was finalized.,Encendió una <MASK> en la calle oscura.,El hábito del personaje de fumar una <MASK> durante escenas tensas se convirtió en un aspecto característico de su personaje en pantalla.
257,propaganda,propaganda,FALSE COGNATE,N,The government spread <MASK> to sway public opinion.,"During the war, the regime used powerful <MASK> to control the narrative and suppress dissent.",Trabajaron en la <MASK> de soluciones amigables con el medio ambiente.,La <MASK> de prácticas agrícolas sostenibles a través de talleres y campañas en los medios ayudó a inspirar a los agricultores locales a adoptar métodos ecológicos.
258,trance,trance,FALSE COGNATE,N,He seemed to be in a <MASK> while listening to the music.,"The hypnotist put the volunteer into a deep <MASK>, causing him to follow instructions without hesitation.",Logró sacar a su hermano de la <MASK>.,"Cuando sus jefes actuales y anteriores se reunieron en la conferencia, se encontró en una <MASK>, tratando de navegar entre sus opiniones contradictorias."
259,tuna,tuna,FALSE COGNATE,N,The <MASK> tasted delicious.,"The fishermen hauled in a massive <MASK>, which would fetch a high price at the seafood market.",El cactus tenía una <MASK>.,El nopal da el fruto llamado <MASK>.
260,axis,axis,FALSE COGNATE,N,The graph has an <MASK>.,"The Earth’s rotation around its <MASK> determines the cycle of day and night, impacting time zones across the globe.",La <MASK> es muy importante y no debe lesionarse.,"La <MASK> permite que la cabeza gire de lado a lado, lo cual es crucial para el movimiento y la flexibilidad del cuello."
261,actual,actual,FALSE COGNATE,ADJ,The <MASK> cost of the meal was lower than expected.,"The <MASK> data from the experiment contradicted the initial hypothesis, leading to a complete revision of the study’s conclusions.",La situación de <MASK> es problemática.,Su actitud <MASK> hacia el trabajo en equipo ha mejorado mucho y puede fomentar un sentido más fuerte de camaradería.
262,commodious,cómodo,FALSE COGNATE,ADJ,The hotel room was <MASK> and comfortable.,"The <MASK> mansion, with its grand ballroom and extensive gardens, hosted numerous high-society events.",Sus profesores eran sorprendentemente <MASK>.,Le encantaba el estilo de vida <MASK> en la isla y sentía que su estrés desaparecía cada día que pasaba.
263,casual,casual,FALSE COGNATE,ADJ,He wore <MASK> clothes to the party.,Her <MASK> demeanor at the interview gave the impression that she wasn’t taking the job opportunity seriously.,Fue un encuentro <MASK>.,El encuentro con <MASK> entre los dos viejos amigos desencadenó una serie de eventos inesperados que cambiarían sus vidas para siempre.
264,clerical,clerical,FALSE COGNATE,ADJ,The office handled mainly <MASK> tasks.,The company’s <MASK> staff was responsible for processing thousands of invoices and maintaining meticulous records.,La túnica era <MASK> y se adaptaba a su papel.,"Se puso una prenda <MASK> para la ceremonia, que simboliza la sabiduría y la guía espiritual."
265,eventual,eventual,FALSE COGNATE,ADJ,The <MASK> winner was a surprise to everyone.,"After months of negotiations, the <MASK> outcome of the merger dramatically altered the landscape of the tech industry.",Todos los arreglos son <MASK> y necesitan alternativas.,"Su contrato <MASK> describía términos temporales, en espera de la aprobación final de todas las partes involucradas."
266,formidable,formidable,FALSE COGNATE,ADJ,The boxer was a <MASK> opponent.,The <MASK> challenges facing the new CEO required strategic thinking and decisive action to stabilize the company.,Los bailarines montaron un espectáculo de <MASK> en el ayuntamiento.,"La actuación de ballet fue verdaderamente <MASK>, cautivando a la audiencia con su gracia y belleza."
267,genial,genial,FALSE COGNATE,ADJ,He was always a <MASK> host at gatherings.,"The <MASK> professor welcomed students into his office, creating a warm and supportive atmosphere for academic discussions.",Se sabía que sus ideas eran <MASK>.,"Conocida por su conocimiento de <MASK>, a menudo resolvía problemas complejos que otros no podían ni siquiera empezar a entender."
268,informal,informal,FALSE COGNATE,ADJ,The meeting was conducted in an <MASK> setting.,The <MASK> talks between the two countries paved the way for a historic peace agreement.,Era un empleado de <MASK>.,Su historial de <MASK> con plazos hizo que fuera un desafío para sus compañeros contar con su apoyo.
269,inhabitable,inhabitable,FALSE COGNATE,ADJ,The house was barely <MASK> after the storm.,"The remote cabin became <MASK> after extensive renovations, allowing the family to live off-grid in comfort.",Las autoridades consideraron que el terreno era <MASK>.,"El duro clima de la isla y la falta de agua dulce la convirtieron en <MASK>, lo que obligó a los exploradores a buscar recursos en otros lugares."
270,insensible,insensible,FALSE COGNATE,ADJ,She took many <MASK> decisions during her tenure.,"Given the budget constraints, it was <MASK> to expect a complete overhaul without additional funding.",El comediante hizo una broma <MASK>.,El comentario de <MASK> dejó a todos incómodos y destacó la necesidad de empatía en las conversaciones.
271,defunct,difunto,FALSE COGNATE,ADJ,The factory has been <MASK> for years.,"The <MASK> newspaper, once a cornerstone of the community, was remembered fondly by its former readers.",El hombre <MASK> se sintió honrado.,"El líder de <MASK> fue recordado por su dedicación y contribuciones a la comunidad, y cientos se reunieron para presentar sus respetos."
272,miserable,miserable,FALSE COGNATE,ADJ,He felt <MASK> after losing the game.,The <MASK> conditions in the refugee camp were exacerbated by the lack of clean water and medical supplies.,Había crecido <MASK> en las afueras de la ciudad.,"Al crecer en un vecindario de <MASK>, aprendió la resiliencia y el valor del trabajo duro desde temprana edad."
273,novel,novel,FALSE COGNATE,ADJ,The idea was <MASK> and innovative.,"The <MASK> approach to cancer treatment showed promising results in early clinical trials, potentially revolutionizing the field of oncology.",Era un empleado de <MASK> con fuertes habilidades.,"Como empleada de <MASK> en el campo, solicitó tutoría para ayudarla a desarrollar habilidades fundamentales."
274,regular,regular,FALSE COGNATE,ADJ,She follows a <MASK> routine every morning.,The doctor recommended <MASK> check-ups to monitor the patient’s health and prevent future complications.,Sus habilidades como carpintero eran <MASK>.,"A pesar de su entusiasmo, su desempeño en el deporte siguió siendo <MASK>, requiriendo más práctica para alcanzar la competencia."
275,sensible,sensible,FALSE COGNATE,ADJ,He made a <MASK> decision to save money.,The <MASK> allocation of resources during the crisis allowed the organization to survive the economic downturn.,Ella era una persona <MASK> que era amada por todos.,"Conocida por ser <MASK> para los sentimientos de los demás, a menudo notaba cambios sutiles en el humor de sus amigos."
276,suave,suave,FALSE COGNATE,ADJ,The diplomat was known for his <MASK> manners.,"The <MASK> negotiator effortlessly charmed both parties, guiding them to a mutually beneficial agreement.",El hombre pasó su mano por la tela <MASK>.,"Le encantaba la <MASK>, la textura aterciopelada de la manta, que era cálida y reconfortante al tacto."
277,voluble,voluble,FALSE COGNATE,ADJ,"She was <MASK> during the discussion, sharing many ideas.","The <MASK> politician delivered a passionate speech, captivating the audience with her eloquent rhetoric.",Su comportamiento <MASK> hacía difícil predecir sus acciones.,"Su naturaleza <MASK> hacía difícil confiar en él, ya que frecuentemente cambiaba de opinión sin previo aviso."
278,vulgar,vulgar,FALSE COGNATE,ADJ,His language was <MASK> and offensive.,The comedian’s <MASK> jokes drew sharp criticism for crossing the line of decency in a public performance.,La mayoría de los chistes en el micrófono abierto eran <MASK>.,Los críticos encontraron que la trama <MASK> sigue la misma trama predecible y carece de momentos memorables o únicos.
279,extra,extra,FALSE COGNATE,ADJ,He brought <MASK> supplies just in case.,"The <MASK> security measures were implemented after a series of high-profile incidents in the area, ensuring public safety.",La clase hizo un esfuerzo <MASK> para ganar la competencia.,Su logro <MASK> en la competencia inspiró a los atletas más jóvenes a superar sus límites.
280,formal,formal,FALSE COGNATE,ADJ,The event had a <MASK> dress code.,"The <MASK> inauguration ceremony was attended by dignitaries from around the world, highlighting the importance of the occasion.",El auto era viejo y <MASK>.,"Conocido por su rendimiento <MASK>, el automóvil fue la elección de la familia para viajes largos por carretera sin preocupaciones."
