ID,en,de,type,lexical_category,low_en,high_en,low_de,high_de
177,beast,biest,FALSE COGNATE,N,The <MASK> roared in the night.,"The <MASK> emerged from the forest, its eyes glowing with an ominous red hue.",Das Kind war eine <MASK>.,"Die verwöhnte <MASK> bekam im Laden einen Wutanfall, als sie das Spielzeug, das sie wollte, nicht bekam."
178,blend,blende,FALSE COGNATE,N,He enjoyed the <MASK> of flavors.,The vibrant <MASK> of spices created an aroma that filled the room with warmth and richness.,Er hat die <MASK> angepasst.,"Der Fotograf hat die <MASK> der Kamera sorgfältig angepasst, um die Menge des in das Objektiv einfallenden Lichts zu kontrollieren und sicherzustellen, dass die Aufnahme perfekt belichtet und der Hintergrund für einen künstlerischen Effekt unscharf ist."
179,bone,bohne,FALSE COGNATE,N,She broke a <MASK> while playing football.,"The delicate <MASK>, fractured and bruised, needed careful tending to heal properly.",Er hat eine <MASK> gegessen.,"Die <MASK>, ein Grundnahrungsmittel vieler Küchen auf der ganzen Welt, ist nicht nur eine nahrhafte Nahrungsquelle, sondern spielt aufgrund ihrer stickstofffixierenden Eigenschaften im Boden auch eine wichtige Rolle in der Fruchtfolge."
180,brand,brand,FALSE COGNATE,N,They launched a new <MASK> of coffee.,"Known for quality, the <MASK> became synonymous with luxury and indulgence.",Er begann eine <MASK> in der Scheune.,"Die lodernde <MASK>, angetrieben von trockenem Holz, knisterte und brüllte, während sie sich schnell durch den Wald ausbreitete."
181,bucket,bukett,FALSE COGNATE,N,He filled the <MASK> with water.,"The <MASK> sloshed heavily, brimming with cool water from the well.",Sie erhielt bei der Veranstaltung eine <MASK>.,"Die sorgfältig mit Rosen, Lilien und Lavendelzweigen arrangierte <MASK> erfüllte den Raum mit einem zarten Duft und symbolisierte Liebe und Rücksichtnahme zu einem besonderen Anlass."
182,chore,chor,FALSE COGNATE,N,Doing laundry is a mundane <MASK>.,"Each <MASK>, though repetitive, kept the household running smoothly and in order.",Die <MASK> hat wunderschön gesungen.,"Die <MASK>, bestehend aus Stimmen vom zarten Sopran bis zum tiefen Bass, harmonierte perfekt."
183,clue,clou,FALSE COGNATE,N,They found a <MASK> at the crime scene.,"The tiny <MASK>, barely visible, held the key to unraveling the entire mystery.",Die Geschichte hat ihre <MASK> erreicht.,"Die <MASK> des Films entfaltete sich mit atemberaubender Intensität, als der Protagonist sich seiner größten Angst stellte, einem Moment der Spannung, der das Publikum atemlos hielt und auf das Endergebnis wartete."
184,disgust,degustation,FALSE COGNATE,N,She felt <MASK> because of the foul smell.,"A wave of <MASK> washed over her as she recoiled from the scene, unable to bear the stench.",Wir gingen zu einem Wein <MASK>.,"Die <MASK>-Veranstaltung bot ein immersives Erlebnis, bei dem jeder Schluck Wein Schichten reichhaltiger Aromen und subtiler Noten offenbarte und die Teilnehmer auf eine Reise fachmännisch kuratierter Aromen führte."
185,device,devise,FALSE COGNATE,N,The <MASK> was used for measuring distance.,"The compact <MASK>, crafted with precision, transformed complex measurements into accessible data.",Die <MASK> der Schule inspirierte die Schüler.,"Die <MASK> der Akademie, „Wissen ist Macht“, erinnerte die Schüler ständig an die Bedeutung des Lernens und vermittelte ihnen ein Gefühl der Zielstrebigkeit und des Stolzes auf ihrem Bildungsweg."
186,dome,dom,FALSE COGNATE,N,The church had an impressive <MASK>.,"The ancient temple’s <MASK> rose majestically above the city, symbolizing both power and grace.",Sie besuchten eine <MASK>.,Die hoch aufragende <MASK> mit ihren aufwendigen Buntglasfenstern und hohen Bögen war ein Zeugnis jahrhundertelanger Glaubens und Kunstfertigkeit und faszinierte die Besucher mit ihrer ehrfurchtsvollen Schönheit.
187,dose,dose,FALSE COGNATE,N,A small <MASK> of the syrup was enough.,"She carefully measured each <MASK> of medicine, mindful of its potency and effects on the patient's recovery.",Er öffnete eine <MASK> Limonade.,"Das kalte, mit Kondenswasser bedeckte Metall <MASK> enthielt einen sprudelnden Hauch von Süße, der an einem sengenden Sommertag für erfrischende Linderung sorgte."
188,fart,fahrt,FALSE COGNATE,N,The unexpected <MASK> broke the silence.,"The sound of the <MASK> echoed in the quiet room, bringing both embarrassment and laughter.",Sie machten eine lange <MASK>.,"Die <MASK> über den Kontinent, voller malerischer Ausblicke und unerwarteter Umwege, wurde zu einem transformativen Erlebnis."
189,flint,flinte,FALSE COGNATE,N,They used <MASK> to start a fire.,"The hunter struck the <MASK> against the steel, sparking a fire in the wilderness.",Er hielt eine <MASK>.,"Die doppelläufige <MASK>, sorgfältig aus poliertem Holz und Stahl gefertigt, lag bereit in seinen Händen, ein mächtiges Werkzeug für die Jagd, aber auch ein Symbol der Verteidigung in der abgelegenen Wildnis."
190,flock,flocke,FALSE COGNATE,N,A <MASK> of sheep grazed in the meadow.,"The <MASK> of birds moved as one, a graceful formation of wings that filled the sky with a rhythmic symphony of beating wings.",Die <MASK> landete auf ihrem Handschuh.,"Die zarte <MASK>, einzigartig in ihrer kristallinen Struktur, funkelte im Sonnenlicht, als sie sanft herabglitt, und ihre flüchtige Schönheit schmolz bei Kontakt mit ihrem warmen Handschuh."
191,actual,aktuell,FALSE COGNATE,ADJ,This is the <MASK> reason for the delay.,The <MASK> reason for the delay was carefully hidden beneath layers of excuses.,Dies ist das <MASK>-Modell.,Das <MASK>-Modell spiegelt die neuesten Fortschritte im Design wider und erfasst sowohl Innovationen als auch die sich ändernden Bedürfnisse der heutigen Benutzer.
192,brave,brav,FALSE COGNATE,ADJ,She made a <MASK> decision.,"With a <MASK> resolve, she faced her fears and took control of the situation.",Der Hund war <MASK>.,"Der <MASK>-Hund saß aufmerksam an der Seite seines Besitzers, den Blick konzentriert, und wartete mit unerschütterlicher Loyalität auf einen Befehl."
193,curious,kurios,FALSE COGNATE,ADJ,He was <MASK> about the noise.,"The <MASK> child wandered through the museum, eagerly examining every exhibit and asking questions.",Er hat eine <MASK>-Sprache.,"Seine Art zu sprechen, unterbrochen von abrupten Pausen und einem ungewöhnlichen Rhythmus, verlieh ihm einen <MASK>-Charme, der noch lange anhielt, nachdem er den Raum verlassen hatte."
194,ordinary,ordinär,FALSE COGNATE,ADJ,It was an <MASK> day.,"On an <MASK> day like any other, nothing remarkable stood out to remember.",Sie hat einen <MASK>-Kommentar abgegeben.,"Ihr <MASK>-Kommentar, gespickt mit bissigem Sarkasmus, hinterließ eine unangenehme Stille im Raum, während sich die Leute unruhig hin und her bewegten."
195,pathetic,pathetisch,FALSE COGNATE,ADJ,His excuse sounded <MASK>.,"With a voice laced with defeat, his excuse was so <MASK> that it bordered on embarrassing.",Die Geschichte war voller <MASK>.,"Die Geschichte war eine kraftvolle Mischung aus Freude und Trauer, voller <MASK>, als sie sich mit den rohen Verletzlichkeiten des menschlichen Lebens befasste."
196,sensible,sensibel,FALSE COGNATE,ADJ,She gave a <MASK> answer.,"Her answer was measured and <MASK>, a response rooted in clarity and reason.",Er ist <MASK> gegenüber Kritik.,Mit seiner sanften Art war er zutiefst <MASK> und empfand selbst die geringste Kritik oft als eine tiefe Einsicht in seinen Charakter.
197,sympathetic,sympathisch,FALSE COGNATE,ADJ,He was <MASK> to her struggles.,"With a <MASK> gaze, he listened to her troubles, showing true empathy.",Er ist eine <MASK>-Person.,"Sein lockerer Charme und sein aufrichtiges Lächeln machten ihn sofort zu <MASK>, eine magnetische Präsenz in jedem Raum."
198,frivolous,frivol,FALSE COGNATE,ADJ,Her concerns seemed <MASK>.,"Her worries seemed <MASK>, overshadowed by the weightier issues around her.",Sein Witz war <MASK>.,"Der Witz, der die Grenzen des Anstands sprengte, blieb unbehaglich hängen, sein <MASK>-Charakter war allen klar, außer dem, der ihn erzählte."
199,ghostly,geistlich,FALSE COGNATE,ADJ,The mist looked <MASK> in the moonlight.,"Bathed in eerie moonlight, the mist took on a <MASK> quality that sent shivers down the spine.",Sie hat eine <MASK>-Einstellung.,"Ihre <MASK>-Perspektive, die tief in der alten Weisheit verwurzelt ist, erfüllte ihr Leben mit Sinnhaftigkeit und ruhiger Selbstbeobachtung."
200,gracious,graziös,FALSE COGNATE,ADJ,She gave a <MASK> reply.,"Her <MASK> reply, full of poise and warmth, diffused the tension in the room.",Der Tänzer war <MASK>.,"Der Tänzer bewegte sich mit <MASK> Flüssigkeit, jeder Schritt war eine zarte Mischung aus Kraft und Eleganz, die das Publikum fesselte."
201,guilty,gültig,FALSE COGNATE,ADJ,He felt <MASK> about lying.,"He stood in the courtroom, his <MASK> expression betraying the remorse he felt for his actions.",Dieses Ticket ist <MASK>.,"Sie erhielt Zutritt zum exklusiven Club, indem sie ihre <MASK>-Mitgliedskarte vorlegte."
202,happy,happig,FALSE COGNATE,ADJ,She was <MASK> to see him.,"Her face lit up with genuine joy, <MASK> to be in his presence after so long.",Diese Uhr ist <MASK>.,"Die Uhr, ein eleganter Beweis für Handwerkskunst und Luxus, trug den <MASK>-Preis eines echten Sammlerstücks."
203,costly,köstlich,FALSE COGNATE,ADJ,The repair was <MASK>.,"The <MASK> repair bill came as a shock, much higher than he’d anticipated.",Das Essen war <MASK>.,"Die <MASK>-Mahlzeit strotzt nur so vor Aromen, und jede Zutat ergibt zusammen ein reichhaltiges, herzhaftes Erlebnis, das herrlich am Gaumen verweilt."
204,pregnant,prägnant,FALSE COGNATE,ADJ,She was <MASK> and glowing.,"The <MASK> woman gently cradled her belly, feeling the first movements of her baby.",Der Bericht ist <MASK>.,"Obwohl der Bericht <MASK> war, war er akribisch prägnant und erfasste komplexe Ideen klar und präzise."
205,lusty,lustig,FALSE COGNATE,ADJ,She gave him a <MASK> smile when they crossed paths.,"She gave a <MASK> performance, captivating everyone with her powerful voice.",Die Show war <MASK>.,"Die Show war <MASK>, mit klugem Witz und unerwarteten Wendungen, die das Publikum in Gelächter versetzten."
206,restless,restlos,FALSE COGNATE,ADJ,He felt <MASK> before the exam.,"After hours of waiting, the <MASK> crowd began to murmur, growing more agitated as the event was delayed.",Es ist ein voller Erfolg <MASK>.,"Der Gesamterfolg des <MASK> war ein Beweis für die harte Arbeit und die einwandfreie Ausführung des Teams, bei der kein Detail außer Acht gelassen wurde."
207,slim,schlimm,FALSE COGNATE,ADJ,She was <MASK> and elegant.,"With a <MASK>, graceful frame, she moved with an elegance that was hard to ignore.",Er machte eine <MASK>-Bemerkung.,"Seine Bemerkung war <MASK> und voller Gift, was einen bitteren Schauer hinterließ."
208,sinful,sinnvoll,FALSE COGNATE,ADJ,He dismissed it as a <MASK> pleasure.,"The indulgence was a <MASK> pleasure, one he could hardly resist despite his guilt.",Diese Arbeit ist <MASK>.,"Die Geschichte war eine kraftvolle Mischung aus Freude und Trauer, voller <MASK>, als sie sich mit den rohen Verletzlichkeiten des menschlichen Lebens befasste."
209,adroit,adrett,FALSE COGNATE,ADJ,She was <MASK> in her response.,"Her <MASK> response, quick and clever, left her opponent momentarily speechless.",Sein Zimmer war <MASK>.,"Die Geschichte war eine kraftvolle Mischung aus Freude und Trauer, voller <MASK>, als sie sich mit den rohen Verletzlichkeiten des menschlichen Lebens befasste."
210,adequate,adäquat,FALSE COGNATE,ADJ,The results were <MASK>.,"The outcome was <MASK>, meeting the minimum expectations but lacking in brilliance.",Das war eine <MASK>-Antwort.,"Ihre Reaktion war ruhig und maßvoll und traf genau den richtigen Ton, eine <MASK>-Reaktion auf eine heikle Situation."
211,blamable,blamabel,FALSE COGNATE,ADJ,He was <MASK> for the mistake.,The manager deemed the employees <MASK> for the project's failure due to their repeated mistakes.,Sein Verhalten war <MASK>.,"Seine von Täuschung und Verrat geprägten Taten warfen einen <MASK> Schatten, der seinen Ruf nachhaltig beeinträchtigte."
212,devoted,devot,FALSE COGNATE,ADJ,She was <MASK> to her work.,"She was a <MASK> volunteer, spending her weekends at the animal shelter caring for abandoned pets.",Der Hund ist <MASK>.,Die <MASK>-Haltung des Hundes mit zurückgelegten Ohren und gesenktem Schwanz zeigte eine stille Akzeptanz des Befehls seines Besitzers.
213,foul,faul,FALSE COGNATE,ADJ,The smell was <MASK>.,"A <MASK> stench filled the air, nearly unbearable to anyone nearby.",Bei ihm geht es <MASK> um Hausarbeiten.,Mit einer entspannten Gleichgültigkeit war er <MASK> und ließ seine Aufgaben immer unvollendet.
214,homely,heimlich,FALSE COGNATE,ADJ,She had a <MASK> charm.,"Her charm was <MASK> and unpretentious, endearing to everyone around her.",Sie hielten ein <MASK>-Treffen ab.,"Das <MASK>-Treffen fand im Schutz der Dunkelheit statt, seine Einzelheiten wurden nur wenigen Vertrauenswürdigen zugeflüstert."
215,inconsequential,inkonsequent,FALSE COGNATE,ADJ,The comment was <MASK>.,"His comment, though <MASK>, had an unintended ripple effect on the group’s mood.",Seine Arbeit ist <MASK>.,"Seine Leistung schwankte unvorhersehbar, eine <MASK> Mischung aus Brillanz und Unaufmerksamkeit, die andere verunsicherte."
216,cross,kroß,FALSE COGNATE,ADJ,She looked <MASK> at the noise.,"<MASK> and visibly irritated, she cast a glare in the direction of the sound.",Das Huhn ist <MASK>.,"Der goldene <MASK>-Überzug des Hühnchens knisterte beim ersten Bissen und machte Platz für zartes, saftiges Fleisch darunter."
217,mundane,mondän,FALSE COGNATE,ADJ,The task felt <MASK>.,"Repetitive and <MASK>, the task drained her enthusiasm with every passing minute.",Ihr Kleid ist <MASK>.,"Ihr Kleid, eine gewagte Mischung aus zeitgenössischem Stil und zeitloser Eleganz, machte sie zum Inbegriff der <MASK>-Raffinesse."
218,net,nett,FALSE COGNATE,ADJ,They measured the <MASK> profit.,Calculating the <MASK> profit required thorough accounting of all revenue and expenses.,Sie ist eine <MASK>-Person.,"Sie war eine <MASK>-Person, deren Herzlichkeit und aufrichtige Freundlichkeit es leicht machten, mit ihr zu reden."
219,eventual,eventuell,FALSE COGNATE,ADJ,The <MASK> outcome was uncertain.,"After months of waiting, the <MASK> outcome remained a mystery until the final moment.","Es ist <MASK>, früher fertig zu werden.","Das Projekt früher als geplant abzuschließen, war völlig <MASK>, solange alle effizient arbeiteten und konzentriert blieben."
220,rusty,rüstig,FALSE COGNATE,ADJ,The bike’s chain was <MASK>.,The old bike’s <MASK> chain creaked loudly with every pedal.,Das alte Paar war <MASK>.,Das alte Ehepaar ging jeden Abend mit einer <MASK>-Energie durch den Garten.
221,scrupulous,skrupellos,FALSE COGNATE,ADJ,She was <MASK> in her work.,Her <MASK> attention to detail ensured that no error went unnoticed.,Er war ein <MASK> Geschäftsmann.,"Seine von einer dreisten Missachtung der Ethik geprägten Geschäfte entlarvten ihn als <MASK>-Betreiber, der wenig Respekt vor Fairness hatte."
222,spendable,spendabel,FALSE COGNATE,ADJ,The funds were <MASK>.,"With the money finally <MASK>, he could start planning his next big purchase.",Sie war sehr <MASK>.,"Ihre <MASK>-Natur ging über materielle Gaben hinaus und umfasste eine wahre Freundlichkeit, die jeden, den sie traf, wärmte."
223,sufficient,süffisant,FALSE COGNATE,ADJ,The water was <MASK>.,"<MASK> for the journey, the water supply was carefully rationed.",Er trug einen <MASK>-Look.,"Sein selbstzufriedenes Grinsen war unverkennbar <MASK>, als hätte sein kleiner Sieg seine Überlegenheit gegenüber allen bewiesen."
224,temperamental,temperamentvoll,FALSE COGNATE,ADJ,Her mood was <MASK>.,"With a <MASK> nature, her emotions shifted from joy to irritation with little warning.",Die Party war <MASK>.,"Der Raum war voller <MASK>-Gespräche, Gelächter und Musik und schuf eine elektrisierende Atmosphäre, die den Abend unvergesslich machte."
225,unkindly,unkindlich,FALSE COGNATE,ADJ,He spoke to her in an <MASK> manner at the meeting.,"Treated in an <MASK> manner, he endured the insults with quiet resilience.",Das Kind ist <MASK>.,"Das <MASK>-Kind zeigte Weisheit, die über sein Alter hinausging, und sprach mit einer Beredsamkeit, die Erwachsene sowohl amüsierte als auch beeindruckte."
226,ungracious,ungraziös,FALSE COGNATE,ADJ,She gave an <MASK> response.,"Her response was <MASK>, a curt reply that left little room for goodwill.",Seine Bewegungen waren <MASK>.,"Jeder Schritt war unbeholfen und unsicher, sein <MASK>-Gang kontrastierte mit der Eleganz seiner Umgebung."
227,wounded,wund,FALSE COGNATE,ADJ,He was <MASK> in the fight.,"Badly <MASK> in the fight, he struggled to move, each step a painful effort.",Seine Haut war vom Laufen in der Sonne <MASK>.,"Die Haut zwischen seinen Beinen fühlte sich <MASK> und wund an, jede Bewegung erinnerte ihn daran, wie sehr seine Beine beim Laufen gescheuert waren."
228,wonderful,wunderlich,FALSE COGNATE,ADJ,The view was <MASK>.,"The view was a <MASK> sight, an awe-inspiring landscape that took her breath away.",Er hatte eine <MASK>-Angewohnheit.,"Seine Angewohnheit, Gegenstände ohne erkennbaren Zweck neu anzuordnen, kam anderen als <MASK> vor, fast schon eigenartig."
229,unalphabetical,analphabetisch,FALSE COGNATE,ADJ,The list was <MASK>.,"<MASK> and disorganized, the list made it hard to locate anything quickly.",Er war <MASK>.,"Der Mann war <MASK> und hatte sich schon lange auf Freunde verlassen, die ihm dabei halfen, die Komplexität des modernen Lebens zu meistern."
230,exalted,exaltiert,FALSE COGNATE,ADJ,The praise felt <MASK>.,"His <MASK> praise bordered on reverence, as if she were a figure to be idolized.",Seine Geschichte war <MASK>.,"Jedes Detail in seiner Geschichte war so <MASK>, dass die Realität unter den Ausschmückungen kaum noch zu erkennen war."
231,comical,komisch,FALSE COGNATE,ADJ,The movie was <MASK>.,"Filled with <MASK> moments, the movie had the entire audience laughing from start to finish.","Es ist <MASK>, dass er heute nicht zur Arbeit gekommen ist.",Das ist wirklich eine <MASK>-Situation.
232,serious,seriös,FALSE COGNATE,ADJ,His tone was <MASK>.,"Speaking in a <MASK> tone, he made it clear that he wasn’t joking about the matter.",Ihre Entschuldigung war <MASK>.,"Wie tief ihr Bedauern war, zeigte sich in ihrer <MASK>-Entschuldigung, die sie mit einer Demut vorbrachte, die selbst den größten Skeptiker bewegte."
233,indecent,indezent,FALSE COGNATE,ADJ,His behavior was <MASK>.,"His <MASK> behavior shocked everyone, crossing the lines of acceptable conduct.",Sie war <MASK> über die Pläne.,"Ihre beiläufige, <MASK> Erwähnung vertraulicher Details löste bei allen Bedenken hinsichtlich ihrer Fähigkeit aus, Diskretion zu wahren."
234,communal,kommunal,FALSE COGNATE,ADJ,They shared <MASK> interests.,"United by <MASK> interests, the group worked toward a common goal that benefited all.",Sie haben die <MASK>-Dienste verbessert.,"Die <MASK>-Dienste des Stadtrats verzeichneten erhebliche Verbesserungen, die den Bewohnern in Bereichen vom öffentlichen Nahverkehr bis zur Abfallentsorgung zugute kamen."
235,crafty,kräftig,FALSE COGNATE,ADJ,Her strategy was <MASK>.,"With a <MASK> approach, she outmaneuvered her rivals, leaving them scrambling to catch up.",Der Sturm war <MASK>.,Die <MASK>-Winde des Sturms fegten durch die Landschaft und hinterließen eine Spur der Zerstörung.
236,lilac,lila,FALSE COGNATE,ADJ,She wore a <MASK> dress.,"The <MASK> dress she wore brought a soft elegance, complementing her gentle features.",Sie trug ein <MASK>-Kleid.,"Die tiefe, königliche <MASK> ihres Kleides betonte ihre Präsenz, ein satter Farbton, der fast königlich wirkte."
237,lumpy,lumpig,FALSE COGNATE,ADJ,The soup was a bit <MASK>.,"The <MASK> texture of the soup hinted at a rushed preparation, with ingredients barely mixed.",Er machte eine <MASK>-Bemerkung.,Seine vor Bosheit triefende Bemerkung war unverkennbar <MASK> und hinterließ ein bitteres Schweigen.
238,middle-aged,mittelalterlich,FALSE COGNATE,ADJ,He was <MASK> and content.,"<MASK> and settled, he’d reached a point of peace and stability in his life.",Die Struktur ist <MASK>.,Die schroffen Steinmauern und schmalen Bogenfenster des Schlosses spiegelten seine <MASK>-Ursprünge wider und zeugen von der Geschichte.
239,momentous,momentan,FALSE COGNATE,ADJ,The decision was <MASK>.,"A <MASK> decision that changed everything, it became the turning point of his career.",Es gab eine <MASK>-Pause.,"Die Stille war nur <MASK>, eine flüchtige Pause, bevor der Raum erneut in Gespräche ausbrach."
240,personal,personell,FALSE COGNATE,ADJ,She kept her thoughts <MASK>.,"Guarding her thoughts closely, she maintained a <MASK> boundary few could cross.",Er stellte der Verwaltung <MASK> Fragen.,Das Memo enthielt vertrauliche <MASK>-Informationen über wichtige Änderungen in den Rollen und Verantwortlichkeiten des Sicherheitspersonals.
241,boot,boot,FALSE COGNATE,N,She slipped on her <MASK> and headed outside.,"The worn leather <MASK>, caked in layers of mud, hinted at journeys through rugged, unforgiving landscapes.",Sie haben eine neue <MASK> gekauft.,"Die <MASK> glitt lautlos über den nebligen See, ihre Ruder schnitten durch das Wasser, während die Morgendämmerung den Himmel in sanfte, leuchtende Farben tauchte."
242,provision,provision,FALSE COGNATE,N,There was a <MASK> for extra time.,The <MASK> of medical supplies during the crisis helped save many lives.,Sie hat eine <MASK> erhalten.,"Dem Künstler wurde eine <MASK> für die Erstellung eines Porträts anvertraut, und er spürte die Last seiner Verantwortung, in jedem Pinselstrich sowohl Ähnlichkeit als auch Seele einzufangen."
243,gift,gift,FALSE COGNATE,N,She handed him a small <MASK>.,"Wrapped in shimmering paper, the <MASK> held a thoughtful note that spoke louder than the present itself.",Das Getränk enthielt <MASK>.,"Obwohl die Phiole mit <MASK> klein war, hatte sie das tödliche Potenzial, jedes Lebewesen sofort zu töten."
244,chef,chef,FALSE COGNATE,N,The <MASK> prepared the meal.,"Moving with practiced skill, the <MASK> transformed simple ingredients into a vibrant, aromatic dish.",Ihre <MASK> ist streng.,"Die imposante Präsenz der <MASK> beherrschte den Raum, sein Blick war scharf, als er seine Mitarbeiter musterte."
245,fee,fee,FALSE COGNATE,N,There’s a <MASK> for late payments.,The hefty <MASK> underscored the urgency of handling matters on time.,Die Geschichte handelte von einer <MASK>.,Die <MASK> mit schimmernden Flügeln schwebte in strahlendem Glanz und verbreitete einen Hauch von Magie über dem dunklen Waldboden.
246,island,island,FALSE COGNATE,N,They visited a tropical <MASK>.,"The secluded <MASK>, with its golden sands and lush greenery, seemed untouched by time.",<MASK> hat wunderschöne Landschaften.,"Die rauen Landschaften von <MASK> mit seinen hoch aufragenden Gletschern, dramatischen Wasserfällen und dampfenden Geysiren machen es zu einem der schönsten Länder, die man besuchen kann."
247,kind,kind,FALSE COGNATE,N,He was always <MASK> to others.,"Her <MASK> nature radiated, bringing comfort to everyone she encountered.",Eine <MASK> rannte an uns vorbei.,"Die <MASK> lachte, während sie im Park auf der Wippe spielte."
248,angel,angel,FALSE COGNATE,N,"Sometimes, she acted like an <MASK>.","The ancient cathedral’s stained glass depicted each <MASK> in vivid color, symbolizing purity, protection, and hope that transcended the centuries.",Er hielt die <MASK>.,"Die <MASK> beugte sich unter dem Gewicht des Fisches, als sie ihren Fang herauszog."
249,anger,anger,FALSE COGNATE,N,His <MASK> was obvious.,"The <MASK> simmered in his eyes, a silent storm barely held at bay.",Die Schafe grasten in der <MASK>.,"Die üppige, grüne <MASK> erstreckte sich weit und war ein Zufluchtsort für grasende Schafe im Dorf."
250,hut,hut,FALSE COGNATE,N,They stayed in a <MASK> by the beach.,"The little <MASK>, with its thatched roof and ocean views, provided simple shelter under the vast sky.",Sie trug eine große <MASK>.,"Ihre breitkrempige <MASK>, elegant zur Seite geneigt, warf einen sanften Schatten auf ihr Gesicht und deutete auf Geheimnis und zeitlosen Stil hin."
251,mist,mist,FALSE COGNATE,N,The <MASK> rolled over the hills.,"The morning <MASK> blanketed the valley, turning the landscape into a soft, ethereal dreamscape.",Der Bauer verbreitete <MASK>.,"Die frische <MASK>, reichhaltig und würzig, wurde sorgfältig auf den Feldern verteilt und versorgte den Boden mit Nährstoffen, die für das neue Wachstum der Saison wichtig sind."
252,plane,plane,FALSE COGNATE,N,The <MASK> took off on time.,"With a gentle roar, the <MASK> soared above the clouds, heading toward its distant destination.",Die <MASK> schützt das Auto vor Regen.,Die <MASK> ist an mehreren Stellen zerrissen.
253,rock,rock,FALSE COGNATE,N,A large <MASK> blocked the path.,"The jagged <MASK>, weathered by time, seemed to guard the entrance to the hidden trail.",Sie trug eine lange <MASK>.,"Ihre fließende <MASK> fing beim Gehen die Brise ein, und ihr zarter Stoff erzeugte bei jedem Schritt einen faszinierenden Tanz aus Farben und Falten."
254,stapler,stapler,FALSE COGNATE,N,The <MASK> was on the desk.,"The heavy-duty <MASK>, with its polished metal and sturdy grip, was a constant presence in the office.",Er fuhr eine <MASK>.,"Die <MASK> rumpelte durch das Lagerhaus und manövrierte geschickt Paletten und Kisten, wobei ihr Bediener Kraft und Präzision im Gleichgewicht hielt."
255,taste,taste,FALSE COGNATE,N,The soup had a strange <MASK>.,"The <MASK> of the exotic spices lingered, rich and unfamiliar, awakening the senses with every sip.","Er musste die <MASK>-Taste drücken, um zu starten.",Mit einem leichten Druck auf die <MASK> entfaltet sich auf dem Computerbildschirm eine Welt digitaler Befehle.
256,teller,teller,FALSE COGNATE,N,He spoke to the <MASK> about his balance.,"At the bank, the <MASK> meticulously counted stacks of bills, ensuring no error in the large transaction.",Die <MASK> war voller Essen.,"Die <MASK>, kunstvoll arrangiert mit leuchtendem Grün, zarten Schnitten und delikaten Saucen, war eine Leinwand aus Farben und Texturen, die zu einem Fest für die Sinne einlud."
257,sole,sole,FALSE COGNATE,N,The <MASK> left a faint impression in the sand.,"The worn <MASK> of the shoe bore the marks of long journeys, each step imprinted on the rugged surface.",<MASK> brennt in den Augen.,"Der Geruch von <MASK>, scharf und belebend, klebte an ihrer Haut und erinnerte sie an den riesigen, ungezähmten Ozean dahinter."
258,auditorium,auditorium,FALSE COGNATE,N,The <MASK> was packed with people.,The grand <MASK> hummed with energy as anticipation grew among the sea of attendees.,Die <MASK> war still.,"Die prächtige <MASK> mit ihren Sitzreihen und der imposanten Tafel und dem Podium diente als Zufluchtsort des Wissens, in dem die Stimmen früherer Gelehrter in stiller Ehrfurcht verweilten."
259,beet,beet,FALSE COGNATE,N,She added <MASK> to the salad.,The vibrant <MASK> slices added a touch of earthy sweetness and color to the simple green salad.,Sie hat Samen in die <MASK> gepflanzt.,"Die <MASK>, reich an dunkler, feuchter Erde, wartete auf die zarten Triebe und Samen, die sie bald in einen Hauch von Grün und Farbe verwandeln würden."
260,blitz,blitz,FALSE COGNATE,N,He saw live updates about the <MASK> on TV.,"In the early hours of the conflict, the air force launched a <MASK>, overwhelming the defenses and causing significant casualties across the strategic target zones.",<MASK> erleuchtete den Himmel.,"Mitten in starkem Regen spaltete <MASK> den Nachthimmel mit heftiger Intensität und erleuchtete die Landschaft in einem plötzlichen, rauen Feuer, das so schnell verblasste, wie es aufgetaucht war."
261,genial,genial,FALSE COGNATE,ADJ,His <MASK> smile put everyone at ease.,"His <MASK> smile, warm and welcoming, was enough to break the ice in any tense situation.",Sie hatte eine <MASK>-Idee.,"Ihre Strategie war so <MASK>, dass sie mehrere Probleme mit einer einzigen, mühelosen Lösung löste."
262,plump,plump,FALSE COGNATE,ADJ,The cat was <MASK> and content.,"With its <MASK>, round belly and lazy purr, the cat exuded pure satisfaction.",Er war <MASK> mit seinen Worten.,Seine <MASK>-Formulierung verwirrte die Botschaft und ließ sein Publikum verwirrt und unsicher über seine Absichten zurück.
263,alert,alert,FALSE COGNATE,ADJ,She was <MASK> to any noise in the room.,"The guard remained <MASK>, his senses attuned to the slightest sound in the darkened corridor, ready to react instantly to any sign of danger.",Sie hatte eine <MASK>-Persönlichkeit.,"Ihre <MASK>-Energie erhellte den Raum, ihr Lachen war ansteckend und ihre Begeisterung grenzenlos."
264,blank,blank,FALSE COGNATE,ADJ,The page was left <MASK>.,"A stark, <MASK> page sat on the table, holding endless possibilities within its emptiness.",Das Auto war <MASK>.,"Der Lack des Autos glänzte im Sonnenlicht, seine Oberfläche war so <MASK>, dass sie alles um sich herum wie ein Spiegel reflektierte."
