ID,en,fr,type,lexical_category,low_en,high_en,low_fr,high_fr
193,genial,génial,FALSE COGNATE,ADJ,She has a <MASK> personality.,"Her <MASK> personality makes her well-liked among her colleagues, often bringing a positive atmosphere to the office.",Son idée <MASK> a surpris tout le monde.,"Avec une touche de <MASK>, il a réinventé l’ancienne technologie, la rendant plus rapide et plus efficace que jamais."
194,gentle,gentil,FALSE COGNATE,ADJ,He gave a <MASK> smile.,"The <MASK> smile he offered reassured the children, helping them feel safe and welcome in the new environment.",C'est une personne très <MASK>.,"Avec un cœur bienveillant et un sourire <MASK>, elle a consacré son temps à aider ceux qui en avaient le plus besoin."
195,jolly,joli,FALSE COGNATE,ADJ,The <MASK> man sang loudly on the street.,"The <MASK> man sang loudly at the festival, spreading cheer and happiness to everyone around him.",Les fleurs ressemblaient à <MASK> dans le vase.,"Elle a arrangé le bouquet, chaque pétale <MASK> complétant les autres, créant un affichage d'élégance naturelle."
196,luxurious,luxurieux,FALSE COGNATE,ADJ,They stayed in a <MASK> hotel.,"Their vacation was made even better by the <MASK> hotel, which offered stunning views and top-notch amenities.",Ses commentaires étaient <MASK> et déplacés.,"Le comportement obscène dont il a fait preuve était choquant, faisant que tout le monde <MASK> lors du rassemblement."
197,miserable,misérable,FALSE COGNATE,ADJ,She felt <MASK> during the rain.,"The continuous rain made her feel <MASK>, as she longed for sunny days to return.",Il était <MASK> et n'avait plus rien.,"Après avoir perdu son emploi, il est devenu <MASK>, luttant même pour payer les repas de base de sa famille."
198,livid,livide,FALSE COGNATE,ADJ,She was <MASK> when she found out the truth.,"After hearing the unfair accusation, he became <MASK>, his face turning red with anger and frustration.",Son visage ressemblait à <MASK> ce jour-là.,"Le médecin a remarqué son teint inhabituellement <MASK>, signe clair de son état de santé déclinant."
199,candid,candide,FALSE COGNATE,ADJ,Her <MASK> comments surprised everyone.,"Her <MASK> comments during the meeting caught everyone off guard, as they were refreshingly honest and direct.",Elle est trop <MASK> pour voir ses véritables intentions.,"Avec une confiance <MASK>, elle croyait chaque mot qu'il disait, ignorant ses motivations cachées."
200,blessed,blessé,FALSE COGNATE,ADJ,They felt <MASK> to be together.,They considered themselves <MASK> for the opportunity to share their lives and support each other through challenges.,Il avait un bras <MASK> après l'accident.,"Sa fierté <MASK> faisait plus mal que ses bleus, car il n’avait jamais été battu auparavant."
201,vulgar,vulgaire,FALSE COGNATE,ADJ,Some of his jokes turned out to be a bit <MASK>.,"The comedian's <MASK> jokes alienated part of the audience, causing some to walk out in disgust.",Le repas était plutôt <MASK>.,"Malgré la réputation du restaurant, les plats semblaient <MASK>, manquant du flair et de la créativité attendus."
202,vivacious,vivace,FALSE COGNATE,ADJ,She has a <MASK> spirit.,"Her <MASK> spirit brings energy to every gathering, making her the life of the party wherever she goes.",Les arbres étaient <MASK>.,"Ces arbres <MASK> avaient vu passer des générations, leurs racines profondément ancrées dans le sol riche de la vieille forêt."
203,villainous,vilain,FALSE COGNATE,ADJ,The character had a <MASK> plot.,The <MASK> plot devised by the antagonist revealed a deeper motivation rooted in personal betrayal.,Son comportement <MASK> a choqué tout le monde.,Les commentaires <MASK> qu'il a faits ont révélé un côté sombre que personne n'avait jamais vu auparavant.
204,lunatic,lunatique,FALSE COGNATE,ADJ,His ideas were considered <MASK>.,"Her <MASK> ideas about an impending apocalypse led her to build a bunker filled with supplies, drawing both laughter and concern from her friends.",Ses humeurs étaient <MASK> et imprévisibles.,"Avec un tour de <MASK>, elle passa du rire à la colère, laissant tout le monde autour d'elle perplexe."
205,sympathetic,sympathique,FALSE COGNATE,ADJ,She was <MASK> to their plight.,"Her <MASK> nature allowed her to connect deeply with others, providing comfort during their times of need.",Elle a un sourire <MASK>.,"Son attitude <MASK>, caractérisée par sa chaleur et son accessibilité, a immédiatement mis les invités anxieux à l'aise à leur arrivée au dîner formel."
206,replete,replet,FALSE COGNATE,ADJ,The cupboard was <MASK> with snacks.,"The cupboard was <MASK> with snacks, making it difficult for anyone to resist indulging in a treat.",Le chat avait l'air <MASK> et bien nourri.,"Sa silhouette <MASK> montrait l'amour de son propriétaire pour le gâter avec des friandises, faisant de lui le chat le plus rond du quartier."
207,mystifying,mystifiant,FALSE COGNATE,ADJ,The answer was <MASK>.,"The <MASK> patterns etched into the ancient stones of the temple left archaeologists puzzled, as they seemed to convey a language or message lost to time",La description était <MASK>.,"Son argumentaire de vente <MASK> cachait les défauts du produit, incitant les acheteurs à faire de mauvais investissements."
208,abusive,abusif,FALSE COGNATE,ADJ,His behavior towards his family was <MASK>.,The <MASK> treatment she received from her partner prompted her to seek help and regain her self-worth.,Ses commentaires étaient <MASK> pour le paramètre.,La tenue <MASK> qu'elle portait lors de l'événement officiel a attiré les regards désapprobateurs de nombreux invités.
209,adept,adepte,FALSE COGNATE,ADJ,She is <MASK> at solving problems.,Her <MASK> ability to navigate complex challenges impressed her colleagues during the project.,Chaque <MASK> contribue à sa manière à la mission du groupe.,Le plus récent <MASK> de la confrérie s’est senti honoré de perpétuer des traditions vieilles de plusieurs siècles et de perpétuer son héritage.
210,adequate,adéquat,FALSE COGNATE,ADJ,The equipment is <MASK> for the task.,"The tools available were <MASK> for completing the job, but they lacked advanced features for more intricate work.",Porter des jeans au travail n’était pas <MASK>.,"Lors de cette réunion formelle, sa tenue décontractée n'était guère <MASK>, attirant des regards désapprobateurs de la part de l'équipe."
211,alterable,altérable,FALSE COGNATE,ADJ,The plan was <MASK> if necessary.,"The strategy was designed to be <MASK>, allowing adjustments based on feedback and changing circumstances.",Certains produits sont <MASK>.,"Si elle n'est pas traitée, la condition est <MASK>, ce qui a un impact sur la capacité du produit à fonctionner normalement."
212,altered,altéré,FALSE COGNATE,ADJ,The <MASK> dress fit her perfectly.,The <MASK> blueprint had more clarity and ensured that all specifications were easy to understand.,Le rideau avait <MASK>.,"L'ancienne tapisserie, autrefois vibrante, était maintenant <MASK>, l'ombre de son ancienne beauté."
213,blind,blindé,FALSE COGNATE,ADJ,He is <MASK> to the reality.,His <MASK> optimism prevented him from seeing the potential risks involved in his plans.,Le camion était <MASK>.,"Equipé d'un blindage renforcé, le véhicule <MASK> pourrait résister aux attaques dans les zones dangereuses."
214,defiant,défiant,FALSE COGNATE,ADJ,She was <MASK> in her stance.,"Her <MASK> attitude during the debate showcased her unwavering commitment to her beliefs, regardless of opposition.",Elle sentit le <MASK> d'étrangers.,"Après des années de trahison, il est resté <MASK> de tous ceux qui tentaient de s'approcher de trop près."
215,disgraceful,disgracieux,FALSE COGNATE,ADJ,His actions were <MASK> towards the community.,The <MASK> behavior displayed during the event tarnished his reputation and led to widespread condemnation.,Ses mots étaient <MASK>.,"Sa réponse fut <MASK>, un changement radical par rapport à sa gentillesse habituelle, quittant la pièce en silence."
216,droll,drôle,FALSE COGNATE,ADJ,The comedian's humor was <MASK>.,"His <MASK> sense of humor, filled with clever wordplay, had the audience in stitches throughout the show.",La maison avait l'air <MASK> la nuit.,Il y avait quelque chose de <MASK> dans la lueur étrange venant du manoir abandonné sur la colline.
217,poisonous,empoisonnant,FALSE COGNATE,ADJ,The plant is <MASK> if ingested.,The <MASK> nature of the plant made it crucial to keep it out of reach of children and pets.,Son rire bruyant était très <MASK>.,"Le bourdonnement constant en arrière-plan était très <MASK>, rendant presque impossible la concentration."
218,extenuating,exténuant,FALSE COGNATE,ADJ,The <MASK> circumstances were considered.,"The judge took the <MASK> circumstances into account when deciding the sentence, showing compassion for the defendant.",Cet entraînement était <MASK>.,"Après des heures de montée, les randonneurs ont trouvé le voyage complètement <MASK>, les laissant épuisés."
219,fast,faste,FALSE COGNATE,ADJ,He drove at a <MASK> speed.,"He drove at a <MASK> speed down the highway, eager to reach his destination before dark.",Le timing était <MASK>.,"Avec le temps qui devenait chaud juste au début de leurs vacances, ils pensèrent que c'était <MASK> que la fortune leur souriait."
220,fastidious,fastidieux,FALSE COGNATE,ADJ,She is very <MASK> about keeping her room clean.,His <MASK> attention to detail made his work stand out among his peers.,La réunion était <MASK>.,"La conférence interminable semblait ennuyeuse et <MASK>, obligeant beaucoup de personnes à lutter pour rester éveillées."
221,foolish,fou,FALSE COGNATE,ADJ,It was <MASK> to ignore the warning signs.,Making such a <MASK> decision without considering the consequences could lead to serious repercussions.,Son idée semblait <MASK>.,Tenter de parcourir le sentier glacé sans équipement approprié sonnait carrément <MASK> à tout le monde autour de lui.
222,gross,gros,FALSE COGNATE,ADJ,The food was <MASK> and unappetizing.,The <MASK> appearance of the dish made it hard for anyone to consider taking a bite.,Le chien avait l'air un peu <MASK>.,"Son ventre <MASK> rebondissait pendant qu'il courait, preuve de son amour pour les friandises et de sa réticence à faire de l'exercice."
223,mundane,mondain,FALSE COGNATE,ADJ,The task felt <MASK> after a while.,"Initially interesting, the task quickly became <MASK>, leaving her bored and unmotivated.",Il avait une vision très <MASK>.,"Avec un air <MASK>, il a parlé de ses voyages à travers les continents, ayant fait la connaissance directe de différentes cultures."
224,improvable,improuvable,FALSE COGNATE,ADJ,Her skills are <MASK> with practice.,"The current system is <MASK>, suggesting that with targeted modifications, it could significantly enhance efficiency and effectiveness.",La théorie était <MASK>.,"En raison de sa complexité, l'hypothèse est restée <MASK>, faute de preuves suffisantes pour la soutenir."
225,injurious,injurieux,FALSE COGNATE,ADJ,The chemical was labeled as <MASK> for skin.,Prolonged exposure to the <MASK> substances led to serious health complications for the workers.,Ses commentaires étaient <MASK>.,"Sa remarque <MASK> est profonde, une attaque claire contre son personnage."
226,intoxicating,intoxicant,FALSE COGNATE,ADJ,The <MASK> aroma filled the room.,"The <MASK> aroma of the wine wafted through the air, enticing guests to indulge in a glass.",Les baies étaient <MASK>.,"Les baies rouge vif étaient <MASK>, d'une beauté trompeuse mais dangereuses à manger."
227,unusable,inusable,FALSE COGNATE,ADJ,The device was deemed <MASK>.,"After extensive testing, the device was deemed <MASK> and required complete replacement.",La robe dans sa garde-robe était <MASK>.,"Déchiré à plusieurs endroits, le vieux manteau était devenu <MASK> et a été donné au lieu d'être porté."
228,unused,inusité,FALSE COGNATE,ADJ,The old machinery remained <MASK> in the corner.,"The <MASK> machinery had gathered dust over the years, a reminder of the factory's once-thriving production line.",C'était un choix de mot <MASK>.,"Le vocabulaire de l’écrivain était rempli de termes <MASK>, ce qui rendait sa prose distinctive mais difficile à lire."
229,onerous,onéreux,FALSE COGNATE,ADJ,The task was <MASK> and time-consuming.,"Completing the project proved to be an <MASK> endeavor, demanding more time and effort than anticipated.",Les réparations de la salle d'exposition étaient <MASK>.,"Le remplacement des pièces antiques du moteur s’est avéré être <MASK>, doublant presque le budget du projet."
230,petulant,pétulant,FALSE COGNATE,ADJ,His <MASK> behavior annoyed everyone.,"The <MASK> outburst from the child disrupted the meeting, drawing disapproving looks from the adults.",L’afterparty était plutôt <MASK>.,"La foule de <MASK> a rempli la salle de rires, de musique et de bonne humeur, créant une atmosphère inoubliable."
231,sycophant,sycophante,FALSE COGNATE,ADJ,His <MASK> behavior was obvious.,"The <MASK> tendencies of the employee became glaringly apparent during meetings, where he excessively praised the manager in an attempt to gain favor and advance his own agenda.",Elle l'a traité de <MASK> devant tout le monde.,"Après avoir révélé le secret, il a été qualifié de <MASK>, perdant ainsi la confiance de ses amis."
232,agonizing,agonisant,FALSE COGNATE,ADJ,It was an <MASK> decision to make.,"The protagonist faced an <MASK> choice between following her dreams and adhering to family expectations, each option fraught with its own emotional turmoil.",L’animal souffrait de <MASK>.,"En proie à la douleur <MASK>, il avait du mal à bouger, chaque respiration plus lourde que la précédente."
233,balanced,balancé,FALSE COGNATE,ADJ,The <MASK> diet improved his health.,"A <MASK> diet, rich in fruits, vegetables, and protein contributed significantly to his overall well-being.",L’athlète était <MASK>.,"Debout et <MASK>, il a facilement retenu l'attention de la pièce."
234,benevolent,bénévole,FALSE COGNATE,ADJ,Her <MASK> nature was well-known.,The <MASK> actions of the philanthropist positively impacted countless lives in the community.,Elle était heureuse de lui offrir son aide <MASK>.,"En tant que participante à <MASK>, elle a consacré son temps et son énergie, sans rien attendre en retour."
235,comprehensive,compréhensif,FALSE COGNATE,ADJ,The report was <MASK> in its coverage.,"The <MASK> report provided detailed insights into the issues affecting the local economy, making it a valuable resource.",Sa mère a toujours été très <MASK>.,"Sa nature <MASK> faisait d'elle une amie réconfortante, toujours prête à écouter et à offrir des conseils."
236,oppressed,oppressé,FALSE COGNATE,ADJ,The <MASK> workers demanded better conditions.,"The voices of the <MASK> workers rose in unison, calling for fair treatment and improved working conditions.",Le coureur était <MASK> après avoir terminé le marathon.,"<MASK> du sprint, il se pencha, à bout de souffle."
237,maroon,marron,FALSE COGNATE,ADJ,The dress was a shade of <MASK>.,"She chose a <MASK> dress for the occasion, its rich, deep color complementing her complexion beautifully.",Ses yeux étaient un <MASK> profond.,"Ses yeux étaient d'une couleur profonde <MASK>, chaleureuse et invitante comme un café riche et fraîchement moulu."
238,preservative,préservatif,FALSE COGNATE,ADJ,The <MASK> ingredients keep it fresh.,They used <MASK> ingredients that allowed the product to stay fresh for months.,Ils ont été formés à l’utilisation d’un <MASK>.,Elle a insisté pour utiliser un <MASK> pour éviter des complications inattendues.
239,patented,patenté,FALSE COGNATE,ADJ,He developed a <MASK> design.,"After years of research and development, the team successfully secured a <MASK> technology that revolutionizes the way we approach renewable energy solutions.",Le médecin était officiellement <MASK>.,"En tant que professionnel de <MASK>, on lui faisait confiance pour gérer des interventions chirurgicales complexes avec compétence et autorité."
240,passionate,passionnant,FALSE COGNATE,ADJ,He was <MASK> about his work.,His <MASK> dedication to his craft inspired his team to strive for excellence in every project.,Le tour de montagnes russes était <MASK>.,"À chaque virage, le trajet s'est avéré être <MASK>, les laissant tous essoufflés et ravis."
241,agenda,agenda,FALSE COGNATE,N,The <MASK> was packed with events.,"The <MASK> for the meeting was packed with important items, leaving little time for discussion of less critical topics.",Elle écrivait dans son <MASK> tous les jours.,"Chaque soir, elle versait ses pensées dans son <MASK>, capturant les événements de la journée et ses émotions les plus profondes."
242,chandelier,chandelier,FALSE COGNATE,N,The <MASK> lit up the room.,"The elegant <MASK> hanging from the ceiling illuminated the entire room, creating a warm and inviting atmosphere.",Le vieux <MASK> était sur la table.,"L'antique <MASK>, avec des restes de cire d'innombrables occasions passées, se tenait au centre de la table, témoin silencieux de nombreux rassemblements."
243,chat,chat,FALSE COGNATE,N,They had a friendly <MASK> over coffee.,"During their friendly <MASK> over coffee, they shared stories and laughter, strengthening their friendship.",Le <MASK> se recroquevilla sur le canapé.,"Le <MASK> orange, avec sa fourrure épaisse, se blottit confortablement sur le canapé moelleux, ronronnant alors qu'il s'endormit."
244,coin,coin,FALSE COGNATE,N,He found a rare <MASK> in the park.,"The ancient Roman <MASK>, inscribed with the image of the emperor, was discovered during the archaeological dig.",Elle attendit dans le <MASK> de la pièce.,"Cachée dans le <MASK> faiblement éclairé, elle observait la pièce, observant chaque interaction sans attirer l'attention."
245,courtier,courtier,FALSE COGNATE,N,The <MASK> wore fancy clothes.,"The <MASK>, dressed in elaborate attire, bowed deeply before the king, seeking favor and influence in the royal court.",Le <MASK> l'a conseillé sur ses investissements.,"Le <MASK> chevronné lui a offert des conseils stratégiques, le guidant avec expertise dans chaque décision d'investissement."
246,dent,dent,FALSE COGNATE,N,There was a <MASK> in the car door.,A noticeable <MASK> in the car door indicated it had been involved in a minor accident.,Il a ressenti une douleur dans son <MASK> après avoir mangé des bonbons.,"Une douleur aiguë traversa son <MASK> alors qu'il mordait, un rappel clair de planifier ce rendez-vous chez le dentiste en retard."
247,destitution,destitution,FALSE COGNATE,N,Many people faced <MASK> after the storm.,"Following the devastating flood, many families faced <MASK>, struggling to find food and shelter.",Son <MASK> du travail a surpris tout le monde.,"Le brusque <MASK> de son travail l'a laissée abasourdie, la forçant à repenser ses plans et à rechercher rapidement de nouvelles opportunités."
248,dot,dot,FALSE COGNATE,N,There was a tiny <MASK> on the paper.,"A tiny <MASK> on the paper caught her attention, a reminder of the importance of detail in her work.",Sa famille a fourni un généreux <MASK>.,"Le généreux <MASK> comprenait un ensemble de bijoux d'héritage, transmis de génération en génération, symbolisant un riche héritage familial."
249,mare,mare,FALSE COGNATE,N,The <MASK> ran gracefully across the field.,"The beautiful <MASK> galloped gracefully across the field, showcasing her strength and elegance.",Les canards nageaient dans le <MASK>.,Le calme <MASK> reflétait le ciel bleu tandis que les canards pagayaient gracieusement sur la surface de l'eau.
250,pain,pain,FALSE COGNATE,N,<MASK> can be hard to ignore sometimes.,"After lifting the heavy box, he felt a sharp <MASK> in his back that lingered throughout the day.",Elle a coupé du <MASK> pour le petit-déjeuner.,"Le pain frais de <MASK>, encore chaud du four, dégageait un arôme invitant lorsqu'elle le coupait."
251,basket,basket,FALSE COGNATE,N,She placed the fruit in a <MASK>.,"She carefully arranged the apples and oranges in a <MASK>, ready to take them to the market.",Il a marqué des points dans <MASK> pendant le match.,"Sa taille et ses capacités de dribble sur le terrain lui ont permis de marquer plusieurs points, assurant ainsi l’avance de son équipe dans le match <MASK>."
252,dais,dais,FALSE COGNATE,N,The speaker stood on the <MASK>.,"The prominent speaker stood confidently on the <MASK>, ready to deliver an inspiring message to the audience.",Le <MASK> fournissait de l'ombre lors de la chaude journée.,"Le grand <MASK> s'étendait sur le jardin, projetant une ombre fraîche qui offrait un soulagement à la chaleur étouffante."
253,gaze,gaze,FALSE COGNATE,N,Her <MASK> was fixed on the horizon.,"As she stood by the window, her <MASK> was fixed on the horizon, lost in thoughts of the future.",Elle a enveloppé la blessure avec <MASK>.,"Le <MASK> stérile recouvrait la plaie, la protégeant soigneusement tout en facilitant le processus de guérison."
254,foot,foot,FALSE COGNATE,N,I found a small cut on my <MASK>.,"In a moment of clumsiness, he accidentally stepped on his friend's <MASK>, causing a brief moment of surprise.",Ils ont joué à <MASK> dans le parc.,"Avec des passes rapides et des coups de pied puissants, le groupe s'est engagé dans un jeu intense de <MASK> sur le terrain herbeux."
255,chair,chair,FALSE COGNATE,N,The <MASK> creaked as he sat down.,"The old wooden <MASK> creaked ominously as he settled into it, a reminder of its age and wear.",Elle avait une coupure sur son <MASK> à cause de l'épine.,"Le <MASK> sous la peau peut se guérir tout seul, mais les plaies plus profondes peuvent nécessiter des soins médicaux pour prévenir l'infection."
256,vent,vent,FALSE COGNATE,N,She opened the <MASK> to let in fresh air.,"To improve circulation, she opened the <MASK> near the ceiling, allowing fresh air to flow into the stuffy room.",Le <MASK> bruissait à travers les arbres.,"Le doux <MASK> remuait les feuilles d'automne, envoyant un doux bruissement dans l'air calme du soir."
257,tour,tour,FALSE COGNATE,N,They planned a <MASK> of the city.,"Excited about their trip, they planned an extensive <MASK> of the city to see all the major attractions.",Le <MASK> se dressait haut au loin.,"S'élevant majestueusement au-dessus de l'horizon, l'ancienne pierre <MASK> avait résisté à des siècles de temps et d'histoire."
258,son,son,FALSE COGNATE,N,His <MASK> is learning to ride a bike.,"Her <MASK> is eagerly learning to ride a bike, his laughter filling the air as he pedals down the street.",Le <MASK> était très bruyant.,Le <MASK> des vagues frappant les rochers constituait une toile de fond constante et apaisante pour le paysage côtier.
259,ride,ride,FALSE COGNATE,N,We took a scenic <MASK> through the countryside.,"The thrilling amusement park <MASK> left them breathless, screaming in excitement as they soared through the air.",Elle remarqua un <MASK> sur son front.,"Un fin <MASK> apparut au coin de ses yeux, marquant des années de rire et de vie."
260,pin,pin,FALSE COGNATE,N,She used a <MASK> to hold the fabric together.,"A simple <MASK> helped hold the fabric together while she worked on her sewing project, making her task much easier.",Le <MASK> se tenait haut au bord du lac.,"Dominant le lac, le vieux <MASK> s'élevait vers le ciel, ses aiguilles chuchotant dans la brise."
261,sensible,sensible,FALSE COGNATE,ADJ,Her solution was quite <MASK>.,"Her approach to the problem was remarkably <MASK>, taking into account all factors and potential outcomes.",Elle a une nature très <MASK>.,Son approche <MASK> en matière de feedback a fait d'elle une confidente de confiance parmi ses collègues.
262,usable,usable,FALSE COGNATE,ADJ,The tool is <MASK> after repairs.,"After a few quick repairs, the tool is now fully <MASK>, ready to assist in various tasks.",Ces chaussures semblent être <MASK>.,"À chaque pas, ses baskets <MASK> craquaient, montrant des signes de leur utilisation constante."
263,truculent,truculent,FALSE COGNATE,ADJ,His <MASK> behavior worried everyone.,His <MASK> behavior during the meeting raised concerns among his colleagues about his ability to collaborate effectively.,Il a préféré garder sa critique <MASK> et directe.,"Il a exprimé ses pensées avec <MASK> honnêteté, ne laissant aucune place à l'ambiguïté dans son message."
264,trivial,trivial,FALSE COGNATE,ADJ,The topic was considered <MASK> by most.,"Most people regarded the topic as <MASK>, yet it held significance in a broader context that deserved attention.",Son humour était parfois un peu <MASK>.,"Ses blagues, s’écartant souvent du territoire <MASK>, ne plaisaient pas toujours à tout le monde."
265,affluent,affluent,FALSE COGNATE,ADJ,She comes from an <MASK> background.,"Growing up in an <MASK> neighborhood, she enjoyed many privileges that shaped her opportunities in life.",La rivière est un <MASK> du plus grand ruisseau.,"Courant à travers la vallée, la rivière agit comme un <MASK> pour l'immense lac, l'alimentant en eau fraîche de montagne."
266,fat,fat,FALSE COGNATE,ADJ,The dog was quite <MASK>.,"The <MASK> dog waddled down the street, clearly enjoying his life of leisure and plenty of treats.",Son attitude était très <MASK>.,"Avec un sourire <MASK>, il balaya les opinions des autres, clairement convaincu de sa propre supériorité."
267,impotent,impotent,FALSE COGNATE,ADJ,He felt <MASK> in the situation.,"Faced with overwhelming odds, he felt utterly <MASK>, unable to influence the outcome despite his best efforts.",L'oiseau blessé est apparu <MASK>.,"L'oiseau <MASK> avait du mal à bouger, son aile cassée pendait mollement."
268,inhabitable,inhabitable,FALSE COGNATE,ADJ,The house was <MASK> after the storm.,"After the storm, the damage rendered the house <MASK>, forcing the family to seek temporary shelter elsewhere.",Cette zone est considérée comme <MASK> par le gouvernement.,Le paysage toxique a rendu la vallée autrefois prospère complètement <MASK>.
269,instant,instant,FALSE COGNATE,ADJ,She wanted <MASK> results from the project.,"Frustrated by the slow progress, she demanded <MASK> results from the project, eager to see immediate outcomes.",Il a un besoin de <MASK> pour terminer ce projet.,"La nature <MASK> de son employeur l'a poussée à travailler de longues nuits, déterminée à respecter les délais du projet."
270,rentable,rentable,FALSE COGNATE,ADJ,The property is <MASK> during the summer.,"Due to its prime location, the property is <MASK> during the summer months, attracting many tourists.",Cette affaire pourrait être très <MASK>.,"Sur le bon marché, cette entreprise a le potentiel d'être extrêmement <MASK>."
271,rogue,rogue,FALSE COGNATE,ADJ,He had a <MASK> personality.,"Known for his unpredictable nature, he had a <MASK> personality that made him both intriguing and difficult to handle.",Il était considéré comme <MASK> par ses pairs.,"Son ton <MASK>, rejetant les idées de tout le monde sauf la sienne, a creusé un fossé entre lui et ses collègues."
272,versatile,versatile,FALSE COGNATE,ADJ,The tool is quite <MASK>.,"This tool is remarkably <MASK>, capable of performing multiple functions with ease.",Ses opinions sont souvent <MASK>.,"Connue pour sa position <MASK> sur les problèmes, elle défendrait une cause aujourd'hui pour l'abandonner demain."
273,formidable,formidable,FALSE COGNATE,ADJ,The opponent was <MASK>.,"Facing a <MASK> opponent in the finals, the team prepared meticulously to increase their chances of success.",Le paysage était vraiment <MASK>.,"Avec des sommets imposants et des lacs étincelants, la beauté <MASK> du paysage a laissé une impression durable sur les visiteurs."
274,large,large,FALSE COGNATE,ADJ,They live in a <MASK> house in the suburbs.,The <MASK> conference room comfortably accommodated all the attendees for the meeting.,La route était longue et <MASK>.,"L'autoroute <MASK> s'étendait sans fin devant eux, bordée d'arbres qui ombrageaient leur voyage."
275,rude,rude,FALSE COGNATE,ADJ,His comments were often <MASK>.,"His <MASK> remarks during discussions alienated him from his peers, making collaboration difficult.",C'était un hiver <MASK> pour tout le monde.,"L'hiver <MASK> a apporté des tempêtes incessantes et des vents violents, mettant à l'épreuve l'endurance du petit village isolé."
276,pleasant,plaisant,FALSE COGNATE,ADJ,The weather was <MASK> for a picnic.,"The <MASK> weather made it an ideal day for a picnic in the park, filled with laughter and sunshine.",Son histoire était <MASK> pour tout le monde.,"Ses histoires <MASK> ont fait rire tout le dîner jusque tard dans la nuit, mettant même les invités les plus calmes à l'aise."
277,secular,séculaire,FALSE COGNATE,ADJ,The event was entirely <MASK>.,The <MASK> nature of the event allowed people of all beliefs to participate without any religious affiliations.,La ville a célébré son anniversaire <MASK>.,"Lors d'une grande célébration, la ville a célébré son anniversaire <MASK>, honorant ainsi cent ans d'histoire et de tradition."
278,billion,billion,FALSE COGNATE,ADJ,The budget was set at a <MASK> dollars.,"The project received an astounding budget of a <MASK> dollars, enabling extensive development and research.",Le trésor valait un <MASK> dans la monnaie d’aujourd’hui.,"En astronomie, de vastes télescopes nous permettent d'observer des galaxies contenant des étoiles <MASK>, élargissant ainsi notre compréhension du cosmos."
279,purple,pourpre,FALSE COGNATE,ADJ,The dress was a lovely shade of <MASK>.,"The sky deepened into a <MASK> twilight, casting a mysterious glow over the landscape.",Les roses étaient d’une riche couleur <MASK>.,"Avec des pétales d’un <MASK> profond, les roses se détachaient vivement sur les feuilles vertes, attirant le regard de tous les passants."
280,ravishing,ravi,FALSE COGNATE,ADJ,She looked <MASK> in her dress.,Her dress clung to her with an elegance so <MASK> that it captivated everyone in the room.,Elle était <MASK> pour voir son amie.,"<MASK> par surprise, son visage s'éclaira alors qu'elle serrait dans ses bras son amie perdue depuis tant d'années."
